model,src_lang,dst_lang,test_src,train_src,Example Selection,file ID,BLEU,COMET,chrF,chrF++,CMT-22,CMT-QE,off-target rate
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,Random Selection,BRI050SGCO,20.73,0.4452,48.7,46.28,0.8344,0.3944,2.27
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,BM25,G6RK0LCKJ7,22.18,0.4518,49.69,47.29,0.835,0.3951,1.48
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,R-BM25,32XWCFR6XH,21.52,0.452,49.15,46.8,0.8351,0.3975,2.27
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,CmtQE-InSrc,JYUSALD6N8,20.78,0.4477,48.56,46.17,0.8349,0.4098,2.37
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,CmtQE-InTgt,PZ58KWNW72,21.71,0.4807,49.55,47.2,0.8406,0.4209,1.98
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,CmtQE-SrcTgt,CZFJ8IK12V,21.71,0.4884,49.85,47.49,0.8424,0.4116,1.09
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,chrF-InSrc,KXMYQQ78FH,22.09,0.4341,48.96,46.67,0.8323,0.3922,1.78
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,LaBSE-InSrc,0HQCTYTKT4,22.79,0.4671,50.13,47.75,0.8386,0.3988,1.78
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,LaBSE-InTgt,OUZG4RN2XE,22.7,0.4736,50.17,47.81,0.8403,0.4041,1.28
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,LaBSE-SrcTgt,ZDF4U20915,21.89,0.4812,50.5,48.05,0.8397,0.3857,1.68
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,ScAvg (3-feat),KQCYCB2WBA,22.62,0.4835,50.15,47.83,0.8417,0.4016,1.58
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,CTQ (3-feat),VS1QTRNYYG,23.46,0.4963,51.42,49.03,0.8439,0.399,1.38
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,PPL-SrcTgt,EDLH0CPBK5,21.28,0.4539,49.44,47,0.8344,0.4073,2.77
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,PPL-SrcTgtIn,5M33AWGLFB,22.57,0.4611,50.17,47.83,0.8364,0.3932,2.57
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,NumTokSrc,0CVHZDTO59,21.2,0.4223,49.09,46.71,0.8273,0.3734,3.56
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,NumTokTgt,JCIEKFR7F7,20.62,0.3933,48.3,45.9,0.8213,0.3806,3.66
BLOOM 7B,hin_Deva,eng_Latn,FLORES,Samanantar,CTQ (ours),LJHMGVNBMZ,23,0.5003,51.44,49.03,0.8437,0.3959,0.69
BLOOM 7B,guj_Gujr,eng_Latn,FLORES,Samanantar,Random Selection,P9QH5P2LFY,17.18,0.3827,44.37,42.12,0.8199,0.3642,0.59
BLOOM 7B,guj_Gujr,eng_Latn,FLORES,Samanantar,BM25,JXL3KL173R,17.08,0.3842,44.04,41.82,0.8212,0.3688,0.59
BLOOM 7B,guj_Gujr,eng_Latn,FLORES,Samanantar,R-BM25,4D5O4F9W6K,16.91,0.3816,44.09,41.84,0.8197,0.3745,0.89
BLOOM 7B,guj_Gujr,eng_Latn,FLORES,Samanantar,CmtQE-InSrc,0R0178D58Z,16.44,0.3802,43.43,41.16,0.8196,0.3855,0.49
BLOOM 7B,guj_Gujr,eng_Latn,FLORES,Samanantar,CmtQE-InTgt,XKGW3XOC8O,16.95,0.4028,44.02,41.74,0.8246,0.4002,0.40
